COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
,CIS,ALL,1998,1366.34
,CIS,ALL,1999,1033.93
,CIS,ALL,2000,1268.44
,CIS,ALL,2001,1475.72
,CIS,ALL,2002,1656.09
,CIS,ALL,2003,2051.65
,CIS,ALL,2004,2787.23
,CIS,ALL,2005,3616.57
,CIS,ALL,2006,4700.19
,CIS,ALL,2007,6163.28
,CIS,ALL,2008,7895.41
,CIS,ALL,2009,5919.33
,CIS,ALL,2010,7317.78
,CIS,ALL,2011,9557.29
,CIS,ALL,2012,10285.73
,CIS,ALL,2013,10748.44
,CIS,ALL,2014,9626.33
,CIS,ALL,2015,6669.67
,CIS,ALL,2016,6099.36
,CIS,ALL,2017,7259.77
,CIS,ALL,2018,7667.33
,CIS,ALL,2019,7926.96
,CIS,ALL,2020,7156.54
CYP,,ALL,1975,976.33
CYP,,ALL,1976,1157.41
CYP,,ALL,1977,1476.27
CYP,,ALL,1978,1929.4
CYP,,ALL,1979,2559.26
CYP,,ALL,1980,4232.02
CYP,,ALL,1981,4033.24
CYP,,ALL,1982,4122.78
CYP,,ALL,1983,4091.05
CYP,,ALL,1984,4258.74
CYP,,ALL,1985,4488.29
CYP,,ALL,1986,5642.63
CYP,,ALL,1987,6690.58
CYP,,ALL,1988,7645.63
CYP,,ALL,1989,8038.91
CYP,,ALL,1990,9641.58
CYP,,ALL,1991,9696.1
CYP,,ALL,1992,11310.07
CYP,,ALL,1993,10526.14
CYP,,ALL,1994,11617.69
CYP,,ALL,1995,15261.41
CYP,,ALL,1996,15139.23
CYP,,ALL,1997,14234.24
CYP,,ALL,1998,15092.83
CYP,,ALL,1999,15287.92
CYP,,ALL,2000,14388.35
CYP,,ALL,2001,14821.45
CYP,,ALL,2002,16093.21
CYP,,ALL,2003,20252.24
CYP,,ALL,2004,23792.62
CYP,,ALL,2005,24959.26
CYP,,ALL,2006,26729.32
CYP,,ALL,2007,31244.93
CYP,,ALL,2008,35397.36
CYP,,ALL,2009,32109.24
CYP,,ALL,2010,31023.64
CYP,,ALL,2011,32396.39
CYP,,ALL,2012,28912.16
CYP,,ALL,2013,27729.19
CYP,,ALL,2014,27163.33
CYP,,ALL,2015,23408.34
CYP,,ALL,2016,24605.92
CYP,,ALL,2017,26608.88
CYP,,ALL,2018,29334.11
CYP,,ALL,2019,29206.08
CYP,,ALL,2020,27681.57
CYP,,ALL,2021,30798.48
CZE,,ALL,1990,3941.5
CZE,,ALL,1991,2896.61
CZE,,ALL,1992,3372.87
CZE,,ALL,1993,3956.18
CZE,,ALL,1994,4630.55
CZE,,ALL,1995,5824.12
CZE,,ALL,1996,6532.84
CZE,,ALL,1997,6034.49
CZE,,ALL,1998,6489.7
CZE,,ALL,1999,6337.42
CZE,,ALL,2000,6029.04
CZE,,ALL,2001,6637.04
CZE,,ALL,2002,8060.87
CZE,,ALL,2003,9818.57
CZE,,ALL,2004,11749.85
CZE,,ALL,2005,13430.67
CZE,,ALL,2006,15261.8
CZE,,ALL,2007,18466.55
CZE,,ALL,2008,22804.58
CZE,,ALL,2009,19861.7
CZE,,ALL,2010,19960.07
CZE,,ALL,2011,21871.27
CZE,,ALL,2012,19870.8
CZE,,ALL,2013,20133.17
CZE,,ALL,2014,19890.92
CZE,,ALL,2015,17829.7
CZE,,ALL,2016,18575.23
CZE,,ALL,2017,20636.2
CZE,,ALL,2018,23419.74
CZE,,ALL,2019,23660.15
CZE,,ALL,2020,22933.5
CZE,,ALL,2021,26378.5
DEU,,ALL,1970,2761.17
DEU,,ALL,1971,3192.13
DEU,,ALL,1972,3809.98
DEU,,ALL,1973,5046.76
DEU,,ALL,1974,5639.08
DEU,,ALL,1975,6236.36
DEU,,ALL,1976,6634.86
DEU,,ALL,1977,7682.95
DEU,,ALL,1978,9482.04
DEU,,ALL,1979,11281.02
DEU,,ALL,1980,12138.31
DEU,,ALL,1981,10209.07
DEU,,ALL,1982,9913.74
DEU,,ALL,1983,9864.34
DEU,,ALL,1984,9313.17
DEU,,ALL,1985,9429.57
DEU,,ALL,1986,13461.83
DEU,,ALL,1987,16677.51
DEU,,ALL,1988,17931.28
DEU,,ALL,1989,17764.38
DEU,,ALL,1990,22303.96
DEU,,ALL,1991,23357.76
DEU,,ALL,1992,26438.23
DEU,,ALL,1993,25522.63
DEU,,ALL,1994,27076.61
DEU,,ALL,1995,31658.35
DEU,,ALL,1996,30485.87
DEU,,ALL,1997,26964.05
DEU,,ALL,1998,27289.06
DEU,,ALL,1999,26734.94
DEU,,ALL,2000,23694.76
DEU,,ALL,2001,23628.33
DEU,,ALL,2002,25197.27
DEU,,ALL,2003,30310.36
DEU,,ALL,2004,34106.66
DEU,,ALL,2005,34520.24
DEU,,ALL,2006,36353.88
DEU,,ALL,2007,41640.08
DEU,,ALL,2008,45612.71
DEU,,ALL,2009,41650.37
DEU,,ALL,2010,41572.46
DEU,,ALL,2011,46705.9
DEU,,ALL,2012,43855.85
DEU,,ALL,2013,46298.92
DEU,,ALL,2014,48023.87
DEU,,ALL,2015,41103.26
DEU,,ALL,2016,42136.12
DEU,,ALL,2017,44652.59
DEU,,ALL,2018,47973.61
DEU,,ALL,2019,46794.9
DEU,,ALL,2020,46252.69
DEU,,ALL,2021,50801.79
DNK,,ALL,1970,3464.46
DNK,,ALL,1971,3845.51
DNK,,ALL,1972,4654.3
DNK,,ALL,1973,6119.37
DNK,,ALL,1974,6770.75
DNK,,ALL,1975,7999.11
DNK,,ALL,1976,8787.59
DNK,,ALL,1977,9783.85
DNK,,ALL,1978,11826.02
