COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
GRC,,ALL,2002,1141.66
GRC,,ALL,2003,1217.38
GRC,,ALL,2004,1239.15
GRC,,ALL,2005,1418.07
GRC,,ALL,2006,1624.73
GRC,,ALL,2007,1649.98
GRC,,ALL,2008,1805.93
GRC,,ALL,2009,2063.8
GRC,,ALL,2010,1790.42
GRC,,ALL,2011,1776.5
GRC,,ALL,2012,1574.47
GRC,,ALL,2013,1544.65
GRC,,ALL,2014,1293.73
HRV,,ALL,1995,474.48
HRV,,ALL,1996,550.1
HRV,,ALL,1997,479.78
HRV,,ALL,1998,581
HRV,,ALL,1999,642.91
HRV,,ALL,2000,718.51
HRV,,ALL,2001,726.96
HRV,,ALL,2002,651.08
HRV,,ALL,2003,737.73
HRV,,ALL,2004,802.6
HRV,,ALL,2005,949.57
HRV,,ALL,2006,1048.81
HRV,,ALL,2007,1260.75
HRV,,ALL,2008,1376.45
HRV,,ALL,2009,1397.17
HRV,,ALL,2010,1376.21
HRV,,ALL,2011,1284.3
HRV,,ALL,2012,1341.16
HRV,,ALL,2013,1362.73
HRV,,ALL,2014,1352.54
HUN,,ALL,1995,552.93
HUN,,ALL,1996,536.46
HUN,,ALL,1997,550.54
HUN,,ALL,1998,569.69
HUN,,ALL,1999,585.24
HUN,,ALL,2000,602.9
HUN,,ALL,2001,668.76
HUN,,ALL,2002,780.79
HUN,,ALL,2003,935.18
HUN,,ALL,2004,925.57
HUN,,ALL,2005,1002.96
HUN,,ALL,2006,1054.26
HUN,,ALL,2007,975.79
HUN,,ALL,2008,1021.65
HUN,,ALL,2009,1033.97
HUN,,ALL,2010,1101.88
HUN,,ALL,2011,1135.4
HUN,,ALL,2012,1106.35
HUN,,ALL,2013,1151.49
HUN,,ALL,2014,1205.25
IRL,,ALL,1995,864.9
IRL,,ALL,1996,912.53
IRL,,ALL,1997,1032.57
IRL,,ALL,1998,1107.75
IRL,,ALL,1999,1190.99
IRL,,ALL,2000,1332.88
IRL,,ALL,2001,1574.19
IRL,,ALL,2002,1796.03
IRL,,ALL,2003,1962
IRL,,ALL,2004,2157.64
IRL,,ALL,2005,2259.53
IRL,,ALL,2006,2432.16
